discipline;lectures;seminars;practice;module_1;module_2;module_3;module_4
Эконометрика;28.0;36.0;;False;False;True;True
Менеджмент в ИКТ;58.0;66.0;;False;False;False;True
Управление ИТ-проектами;28.0;36.0;;True;True;True;False
Моделирование процессов и систем;36.0;44.0;;True;True;False;False
Управление данными;10.0;10.0;;False;True;True;True
Архитектура предприятия;0.0;20.0;;False;True;True;True
Инновационные цифровые системы и сервисы;58.0;66.0;;True;False;False;False
Дополнительный профиль (Minor);68.0;84.0;;True;False;False;False
Управление информационными системами;68.0;84.0;;True;False;False;False
Практики, проектная и/или исследовательская работа;;0.0;4.0;False;False;True;False
Научно-исследовательский/Проектный семинар;;0.0;0.0;False;False;True;False
Курсовые работы;;;4.0;True;True;True;False
Проекты;;;0.0;True;True;True;False
Проект;;;0.0;True;True;True;False
